highly recommended:),"we had pad see u, sambal calamari, fried dumplings. Everything was so good! Also i visited during happy hours so the price was reasonable too.",GahyunL10,,1,Date of visit: January 2020,"January 13, 2020",5.0
The food was amazing！ nice,The food was amazing！ nice people working in the restaurant! love it recommended pork belly ，pho and beef curry,Dream778688,"New York City, New York",1,Date of visit: January 2020,"January 12, 2020",5.0
Oriental food in NYC,"Good service! Also, the location is great. You can walk from Central Park or 5th Avenue. I had pad see ew which was really good.",nangelbabe,,1,Date of visit: January 2020,"January 12, 2020",5.0
Cute restaurant!,I like the atmosphere of the restaurant. The lady showing us seats is really nice and helpful. Will surely recommend!,Wingsumwu,,1,Date of visit: January 2020,"January 12, 2020",5.0
Best pho,Came here with a friend for dinner. The food is great and the service is good too. Recommend the pho!,AmyX504,,1,Date of visit: January 2020,"January 12, 2020",5.0
Great dinning place,Food is great. Drink is amazing good. Good decoration to take a friend here. Very homey. Nice bow. They seems to use high end Chinese. It's not neither too loud and a good quiet place for a quant lunch on the weekend as this location...More,lioyum,"New York City, New York",1,Date of visit: January 2020,"January 12, 2020",5.0
Authentic & amazing Thai food!,"Coming from someone who has lived in Thailand, this food is authentic & delicious!! Definitely a must try in NYC",sanaeya,,1,Date of visit: January 2020,"January 11, 2020",5.0
Yum,"Yum food! We got the calamari, pad kee mao and the Kra pow. Just enough spice but not too much. Def will be coming back!",495anahitap,,1,Date of visit: January 2020,"January 11, 2020",5.0
Fun Delicious Thai spot,"Fun and cozy Thai restaurant my wife and I love to visit in our neighborhood. In addition to serving delicious, authentic Thai dishes, they also make great cocktails!",Coastal57281884888,,2,Date of visit: January 2020,"January 11, 2020",5.0
Great spot for dinner and drinks,"Great service, tasty food and cocktails, convenient location and nice ambiance. What more could you ask for? Ordered the fried dumplings, pad see iew, and a “sipping emotions” cocktail.",andik727,,2,Date of visit: January 2020,"January 11, 2020",5.0
Wonderful food! Visited with,"Wonderful food! Visited with friends and we got a variety of pho and appetizers and shared. Lots of great, flavorful options!",kristinmhouston,"New York City, New York",1,Date of visit: January 2020,"January 11, 2020",5.0
Great restaurant overall,Really unique cocktails and a cool atmosphere! Great place for a night out with friends. The kimchi fries are my favorite!,Nscagliola,"New York City, New York",1,Date of visit: January 2020,"January 11, 2020",5.0
Great cuisine,This place had delicious food at really reasonable prices. I would definitely recommend this place and come back.,Pioneer818176,,1,Date of visit: January 2020,"January 11, 2020",5.0
"Very cute place, go during happy hour!","Stopped by on a whim for a quick dinner and drinks. Very good happy hour menu and very nice atmosphere. Cute, intimate space. Incredible quick service",pilaraQ6116NN,,1,Date of visit: January 2020,"January 11, 2020",5.0
Fab,This place is sooooooooo cute and the drinks are sooooooooooo so so sooooooo good! And food rocks! So glad we stumbled upon it!,mimeboi,,1,Date of visit: January 2020,"January 11, 2020",5.0
Delicious Asian Fusion,"I heard good reviews of Obao and was not disappointed when I finally went. Really delicious food, nice staff, and a relaxing atmosphere.",Will N,,5,Date of visit: January 2020,"January 11, 2020",5.0
Food was excellent. Atmosphere,Food was excellent. Atmosphere was fun. The drinks were very well crafted and delish. I highly recommend this place!,barrettc2020,"New York City, New York",1,Date of visit: January 2020,"January 11, 2020",5.0
Great place to have a party.,"Great place to have a party. Amazing foodie. Delicious food, great noodles and dumplings! They have a back room in the backside",shuzuanl,"Brooklyn, New York",1,Date of visit: January 2020,"January 10, 2020",5.0
Yummy dinner,"We had a great dinner here, it was a lovely ambiance, our server was nice and the service was quick!",Khoung88,,1,Date of visit: January 2020,"January 10, 2020",5.0
YUM,Belly full. Really delicious Thai food. I would recommend to anyone. Bring friends and come hungry. Enjoy!,johnNOTREAL,,1,Date of visit: January 2020,"January 10, 2020",5.0
Excellent service and delicious,Excellent service and delicious food! Awesome ambiance too! The back space is great for entertaining! The back room has a tree and has indoor heating,kyraku,"New York City, New York",1,Date of visit: January 2020,"January 10, 2020",5.0
YUMMY,"So delicious and such a good vibe!! Great service, great music and delicious food. Will definitely come back",J7312JMamyg,"New York City, New York",1,Date of visit: January 2020,"January 10, 2020",5.0
Incredible food!,We ordered pad see ew and the kalbi ribs and they were amazing! We will definitely be back to try everything on the menu,Markfrance92,,1,Date of visit: January 2020,"January 10, 2020",5.0
Obao Review,"Great service! Incredible food! And you guessed it, exceptional service. Obao will forever go down as one of the best noodle and bar joints in Midtown East. Try the vegetables dumplings if looking to spice up your day ;)",Fitzler123,,1,Date of visit: January 2020,"January 10, 2020",5.0
Great service,The service here is amazing! Super attentive!! I will definitely be bringing my family back when they’re in town!,Robiaablak,,1,Date of visit: January 2020,"January 10, 2020",5.0
Nice Food,"appetizer is awesome! I love spicy calamari. Highly recommend. The first entree is also good. Beef, onion with rice. This is a nice place!",Haina5134,,1,Date of visit: January 2020,"January 10, 2020",5.0
Obao Midtown,Please get spiced calamari. One of the best appetizers I've ever had. Laksa was good and minced beef basil rice (forgot the exact name) was on point. Def would come back again 👍👍,130isaacl,,1,Date of visit: January 2020,"January 10, 2020",5.0
Great happy hour.,"Great service and the happy hour deal is really good. We got a 10 dollar sake for just 5. I always order Kao Soi and this place delivered, it was great.",Momomi U,,1,Date of visit: January 2020,"January 10, 2020",5.0
Good variety of food and everything,Good variety of food and everything I tried was delicious. Don’t miss the happy hour from 5pm to 7pm for drinks and appetizers.,417annetted,,2,Date of visit: January 2020,"January 10, 2020",5.0
Always a great meal!,"I came here with a few friends during lunch time, and was not disappointed. The pork belly and fried calamari are my go-to appetizers, and typically order the pad Thai or pho. Service is great, and the food is delicious.",brandonw811,"Hoboken, New Jersey",1,Date of visit: January 2020,"January 10, 2020",5.0
Amazing food!,Super delicious calamari and pork belly. And the Khao soi is the perfect balance of spicy and rich. 100% would recommend to anyone looking for an authentic south east Asian restaurant in midtown!,Robert I,,2,Date of visit: January 2020,"January 10, 2020",5.0
"Just had Pad Thai, Luk Sa and two desserts. Great meal!",My experience here at OBAO was great. We just got tired walking from the MET and want some Thai food so we ended up here. I ordered Luk Sa and my girlfriend ordered Pad Thai. The food came fast. They were both great in taste....More,Jutharatpp,,1,Date of visit: January 2020,"January 9, 2020",5.0
So GOODDDDDD,"I went to Obao with my family who visit me. My fam doesnt really like American food that much, so we tried Obao. We start with fried dumpling, which are awesomee. We had pad thai, pad see ew, and cashew chili chicken. It was so...More",Alyciag97,,1,Date of visit: January 2020,"January 9, 2020",5.0
Fushion Cuisine. Great Yellow curry dish!!,I have been to Obao last month. This restaurant was busy. I ordered Yellow Curry dish “KhoiSoi” and it was really great. Also cocktail here so delicious and service is awesome. Overall. Perfect!,alanpondz,"New York City, New York",1,Date of visit: December 2019,"January 9, 2020",5.0
"Great atmosphere, good drinks","I love OBAO. I've been going to OBAO in Hell's Kitchen for years and my first visit here didnt disappoint either. Happy hour deals include discounted drinks and apps. Highly recommend the pork belly. Love the fig-a-tini. And the pho, bun bo hue, bun, and...More",171billya,,1,Date of visit: January 2020,"January 9, 2020",5.0
Excellent service and food.Great,Excellent service and food.Great ambiance.l ordered pho bo.lt came so fast.deep flavor.will come back again,Noo B,"New York City, New York",1,Date of visit: January 2020,"January 9, 2020",5.0
Great food and drinks !,Yummy pad Thai and flunkflink !! Will come again for lunch surely. Great location and ambience with vegetarians options,aanchala2020,,1,Date of visit: January 2020,"January 9, 2020",5.0
Lunch weekday menu,quick service during lunch happy hour! pad kee mao tofu was tasty - would recommend! obao cocktail was also good,revathi_k749,,1,Date of visit: January 2020,"January 9, 2020",5.0
Loved the food and service.,Loved the food and service. Really enjoyed the appetizers and drinks along w the meal Will definitely recommend and come back in the future.,nmithani,"Philadelphia, Pennsylvania",6,Date of visit: January 2020,"January 9, 2020",5.0
Review of Obao,"Great place to go with friends - great service, food was served quickly, and food was delicious! Would definitely recommend!",B3713ITemilyg,,1,Date of visit: January 2020,"January 8, 2020",5.0
Weeknight dinner,"Food was delish! A great place to have an after work dinner with friends. Service was super helpful, and very attentive. Food was tasty and served quickly!",rachelbR2344LA,,1,Date of visit: January 2020,"January 8, 2020",5.0
Great casual spot with friends!,Had a great dinner with friends tonight. We shared a couple dumpling appetizers and each ordered a main dish. It was affordable and has a great atmosphere!,261shelbyb,,1,Date of visit: January 2020,"January 8, 2020",5.0
Great service and restaurant!,Great service and restaurant! Will be back again. Great spot for drinks and dinner with friends. Got the pad see ew with shrimp and it was good. Also shared dumplings. Wine is also good and well priced.,jessiemW5146CR,"New York City, New York",1,Date of visit: January 2020,"January 8, 2020",5.0
"Amazing staff, ambience, and food","Very knowledgeable and friendly staff, great ambience. The wait time is quick and the food is spicy, sweet, sour, full of flavor. Great cocktails are a bonus!",987mjp,,1,Date of visit: January 2020,"January 8, 2020",5.0
Best pad thai in this side of town,Great restaurant family friendly. Best Pad Thai in this side of town! Also their happy hour is a great deal on both drinks & appetizers :),dockjordan,,2,Date of visit: January 2020,"January 8, 2020",5.0
Thanks,Great food loved the restaurant and service! Service was amazing. The pad Thai was especially amazing and we love the service here. Would definitely recommend coming back again,Neilsahni,,1,Date of visit: January 2020,"January 8, 2020",5.0
Great place,The food is good with authentic cuisine. The ambience is great. I enjoyed the drinks and would love to visit this place again.,Harshadsawhney,,1,Date of visit: January 2020,"January 8, 2020",5.0
Stopped by on Friday night.l,Stopped by on Friday night.l made a reservation so they seated me suddenly.My server was very friendly.l ordered bun bo hue.lt was hot and spicy.The broth was well flavored.l’ll be back to try something different.,MamiiMay,"New York City, New York",2,Date of visit: January 2020,"January 8, 2020",5.0
Best Thai food we’ve ever had :),"We love this place! My boyfriend is vegetarian. Its really hard to find good vegetarian food for him but we found it! We ordered red curry with tofu, sauté eggplant with spicy garlic sauce and fresh shrimp rolls. The tofu was a little crispy and...More",Meowmeow5656,,1,Date of visit: January 2020,"January 8, 2020",5.0
This is one of the best asian,"This is one of the best asian restaurant,shrimps pad Thai was over the top, friendly staff excellent service,bravo!",P5874QZeds,"New York City, New York",1,Date of visit: January 2020,"January 6, 2020",5.0
I went there together with,I went there together with my close friend.we started with fried dumplings.lt was very good.For the entree we had the pad se ew and cashew chili chicken.Both tasted delicious.will come back soon.,926shaah,"Elmhurst, New York",2,Date of visit: January 2020,"January 6, 2020",5.0
Fantastic and consistent food,Fantastic and consistent food and service. My go to after work! Not too expensive and the ambiance is perfect.,pearsea2020,"New York City, New York",1,Date of visit: January 2020,"January 6, 2020",5.0
Fire food with friends and family,"Listen, the food was fueg. Complexly cooked, yet simple at the same time. So good I couldn't wait to write the review, I did it while eating. Chicken pad with eggs cooked to the highest degree. Thanks for the privilege of eating here.",hunterl655,,1,Date of visit: January 2020,"January 6, 2020",5.0
Obao? More like O WOW,"SAVAGE restaurant. Super fast service, good food. ALSO if there was a 6th star I would give it 6 stars. Actually dank. May even have them cater my wedding... I'm not even Thai.",aryannalyonss,"New York City, New York",1,Date of visit: January 2020,"January 6, 2020",5.0
Great Cocktails,Awesome happy hour. Great staff! Very friendly. Kimchee fries are terrific. OBAO cocktail is killer!,Naim110,,1,Date of visit: January 2020,"January 6, 2020",5.0
Amazing,"Best location, excellent happy hour, great drinks beautiful staff, explained the menu perfectly so polite the staff here needs a promotion",P9196DWjordans,,1,Date of visit: January 2020,"January 6, 2020",5.0
A great experience,"I came into the restaurant for take out but decided to dine in. The staff is very nice and efficient, all the food came out hot and fresh. The drink fig a Tini was well made and tasty. I recommend the restaurant for lunch or...More",Yanelledate,,1,Date of visit: January 2020,"January 6, 2020",5.0
Very good spot,"good food, good drinks, good service Nice place for tourists like me In the heart of new-york good location",432walidt,,1,Date of visit: January 2020,"January 6, 2020",5.0
Very convenient location in,Very convenient location in the heart of new york. Cool vibe. Tasty food. Good drinks! Would definitely recommend and come back when in NYC.,michaelmB7946IZ,"Montreal, Canada",1,Date of visit: January 2020,"January 6, 2020",5.0
Great spot with some great food and drinks,We went for happy hour and had a great time highly recommended friendly service and quiet vibe service was friendly and nice,694jarrettm,,1,Date of visit: January 2020,"January 6, 2020",5.0
YES PLEASE!,"My new go to for pho in midtown East! So fresh! So flavorful! So fast! Not to mention the stellar reviews, drink specials and incomparable steamed dumplings! Happy girl! -Leah",leahsimonem,,1,Date of visit: January 2020,"January 6, 2020",5.0
Great Experience!,Food and service were great! The pho bo is awesome and this location is our favorite. Always so clean and tasty with a great atmosphere!,483lacyf,,1,Date of visit: January 2020,"January 5, 2020",5.0
Best Thai food,Spring roll is relatively authentic. Friendly and accommodating service. This location so nice!! Will come back next week .,Z9395EIannag,"New York City, New York",1,Date of visit: January 2020,"January 5, 2020",5.0
Great dish!,I enjoyed lunch today i had padthai noodles with shrimp. The noodles really sticky and not overcooked. I really like a texture of the noodles mixing with poached eggs. Yummy!!!,Suchetinuthai,,1,Date of visit: January 2020,"January 5, 2020",5.0
Yummy!,"Good food, good drinks, good service! Love the decor! I had the vegetarian pad Thai and it was amazing.",ElleMat1234,,1,Date of visit: January 2020,"January 4, 2020",5.0
"Amazing drinks, food and environment!!",Came here when visiting friends in nyc. Love this place! Drinks where fantastic. Food was tasty and served fast. Music was really peaceful and service was awesome! Would recommend / come back :),817ericat,,1,Date of visit: January 2020,"January 4, 2020",5.0
Amazing food!,Food was delicious and the service was great. Pad Thai was exceptional! I really like it😄😄😄 I’ll be back,dipisha03,,1,Date of visit: January 2020,"January 4, 2020",5.0
Great food,Food was great and good drinks too. Highly recommended. Pad See Mao was very tasty. Bun was fresh and tasty. Winter Yuzu was exquisite. Artisanal drinks,TR423,"New York City, New York",33,Date of visit: January 2020,"January 4, 2020",5.0
Good find for Pho,"Was looking for some Pho while staying on the Upper East Side and came across OBAO, so took a chance. Glad I did, staff was very welcoming and the Pho Bo was excellent. The portion size was perfect and the rich flavorful broth warmed the...More",Tommy_ZZZZ,"Jacksonville, Florida",37,Date of visit: December 2019,"January 4, 2020",5.0
"Fast service, delicious cocktails","Service is amazing and fast! Great cocktails. All the food was awesome. We had pho, pad Thai, spring rolls, and pork belly—all delicious!!!",JodiTBlack,,2,Date of visit: January 2020,"January 3, 2020",5.0
Great cocktails,"Great cocktails and speedy service! Ambiance is nice for dates, highly recommend - staff is very pleasant and accommodating.",brandys009,"New York City, New York",1,Date of visit: January 2020,"January 3, 2020",5.0
great visit,"Beautiful bartenders and great drinks. I really like the atmosphere and service , especially all the beautiful thai women.",travel1968p,"New York City, New York",1,Date of visit: January 2020,"January 3, 2020",5.0
Must try in New York,"Great food! This is so close to our apartment and we love Obao for a quick bite that is always good. Definitely love the calamari and steamed dumplings for appetizer. Pad Thai is my favorite main dish. They have a specialty dish, khao soi, that...More",sdurf,"New York City, New York",1,Date of visit: January 2020,"January 3, 2020",5.0
The food & ambience is amazing!,The food & ambience is amazing! We especially recommend the pork belly appetizer. The cocktails are fun as well!,apjlim,"New York City, New York",1,Date of visit: January 2020,"January 3, 2020",5.0
Great food. Was able to seat,Great food. Was able to seat us on a Friday night. Quick and attentive service. I was most impressed with how often the servers came around to check on us,mitchlherrera,"New York City, New York",1,Date of visit: January 2020,"January 3, 2020",5.0
Awesome spot for quick lunch,Awesome spot for quick lunch.The best pho l’ve had ever in New York.lt came so fast also the service was so friendly.will come back again.,sebasteinec,,2,Date of visit: June 2019,"December 30, 2019",5.0
Haven’t been here in a while.l,"Haven’t been here in a while.l moved back from Boston and craved for Vietnamese food so l decided to have a dinner here.l started with crispy spring roll.lt was so crispy and yummy.for the entree l had pho bo.absolutely perfect.Even though the restaurant was packed,the...More",Mars_Irskas,New York,2,Date of visit: December 2019,"December 29, 2019",5.0
How should I say?,"How should l say? Amazing food especially spicy kalbi short ribs,which served on sizzling and white rice on the side.also the staff was very hospitality.l strongly recommend.",Frankkung123,"New York City, New York",2,Date of visit: December 2019,"December 29, 2019",5.0
Christmas Dinner,"Very good food, second time here recommend you have reservations if after 6 o’clock, had family style order",H7984XVdonaldd,,2,Date of visit: December 2019,"December 28, 2019",5.0
Good eats w aesthetic lights,"I got the pho bo and it was so good. With the ambiance that’s perfect for friends and great prices, it was fun and nice.",Jessicam99999,,2,Date of visit: December 2019,"December 28, 2019",5.0
Wonderful night,"Had a wonderful night at this place.l tried pad se ew.lt was amazing.also the winter yuzu,dessert was so good.",Boom_pp,"New York City, New York",2,Date of visit: December 2019,"December 26, 2019",5.0
Love the food here very mich.l,Love the food here very mich.l had the pho bo add beef balls.The broth was amazing and noodle was soft.will definitely come back.,ratanonp,"New York City, New York",2,Date of visit: December 2019,"December 25, 2019",5.0
Excellent place,Excellent place!! Loved their pho bo.The broth was so rich and flavorful.The noodle cooked very well - so silky.highly recommend.,Me_moonlight,,2,Date of visit: December 2019,"December 24, 2019",5.0
Birthday party,"Catch up with my friends to celebrate my birthday. We started with a few appetizer: steamed dumplings,sambal spiced calamari,and spare rip.All of them tasted yummy.For the entree we ordered pad Thai , pad se ew,bo lac luc and cashew chili chicken.WOW!! Everything was very delicious....More",piyanut0502,New York,2,Date of visit: December 2019,"December 23, 2019",5.0
The first time I went to eat,"The first time I went to eat at this restaurant, I was impressed with the taste of the food. And all of the staff were very welcoming All good service If I have a chance I will go again.",poonlopez,"New York City, New York",2,Date of visit: December 2019,"December 23, 2019",5.0
close to my office,This place is located around my office.Thus l came here together with my coworker on lunch time.There was the special menu on this time.We started with sambal spiced calamari.It just $6 but the portion was so big.For the entree we had pho bo and bo...More,nootim2534,New York,2,Date of visit: December 2019,"December 23, 2019",5.0
friend,"My friend and l went there yesterday.There were plenty of seats available.we ordered steamed dumplings as an appetizer.lt was very tasty.Then we had pad thai and pork and shrimp vermicelli.Both taste amazing.Disappointed,we didn’t have any room for dessert.will definitely come back.",narathipk2016,Thailand,1,Date of visit: December 2019,"December 21, 2019",5.0
Great spot,Such a great spot in every sense l sat at the bar as l waited my friend and hung out with the bartender who recommended the amazing cocktail (one thousand and one night ) for me. I loved it very much.l was starting with steamed...More,makiec2019,"New York City, New York",2,Date of visit: December 2019,"December 21, 2019",5.0
Happy meal,"Obao is the most happy hour deals in midtown. It runs from 11.30 am to 7.00 pm. So we started with a few drinks including Obao sunray, flunk flink, and fig a tiny. The happy hour was going on. Meaning each drink was $10. We...More",armallez0101,,2,Date of visit: December 2019,"December 20, 2019",5.0
Have a wonderful night!,Have a wonderful night!!l have been here many time.The sambal spiced calamari is what l had as the appetizer.lt was so delicious.l also got the clay pot catfish for the entree.lt was flavorful.will come back for sure.,fonnys2014,"New York City, New York",2,Date of visit: December 2019,"December 19, 2019",5.0
Cool,"I’ve been here several times.For this time l ordered something different.l got the bo loc luc (the dish served with beef,lettuce,tomatoes,and jasmine rice) beef was quite tender and some sauce was delicious.worth visiting.",armallez,"New York City, New York",2,Date of visit: December 2019,"December 18, 2019",5.0
Excellent Food and great service.The,Excellent Food and great service.The pad se ew doesn’t compare to the one that l’ve had in Thailand.The one served at Obao was quite delicious also service was homey.highly recommend.,Boom T,,2,Date of visit: December 2019,"December 18, 2019",5.0
I had a good time here.This,I had a good time here.This place was packed on lunchtime.so l decided to wait about 15 minutes then l was seated by the hostess who smiled all the time. I started with the steamed dumplings.It tasted delicious.For the entree l ordered the bo loc...More,SumanaL18,,2,Date of visit: December 2019,"December 18, 2019",5.0
Had lunch with a friend,"Had lunch with a friend. Ordered spring rolls, pad thai and drunken noodles. The drunken or Pad Khi Mao, was fantastic, and truly one of the best I've had in the city. Also liked the fact that they serve in these nice sheet bowls, which...More",kenjiyarat,"Chicago, Illinois",2,Date of visit: December 2019,"December 17, 2019",5.0
My son’s birthday at Obao,"My family and l went there on Saturday night for celebrate my son’s birthday. The service was so friendly.Staff was kind and patient.Even my son was mischievous. We got Thai iced tea for drink.It was good. We ordered the steamed dumplings,pork belly,crispy spring roll and...More",Sammmnyc,,2,Date of visit: December 2019,"December 16, 2019",5.0
oh my goodness!!,"THE SEcond time in a roll, oh my goodness , I took a break from meeting in midtown , I had a pho 53 street so the wiatress recommend another location__ which is here I am now. I had flunk flink and steam dumpling then...More",teeria3,"Newport Beach, California",2,Date of visit: December 2019,"December 16, 2019",5.0
I never been here a quite,I never been here a quite while.Everything was changed.Good ambience.nice service.l ordered pad thai that topped with poached egg lt was so great.highly recommended.,618unes,"New York City, New York",1,Date of visit: December 2019,"December 16, 2019",5.0
I have been to Thailand many,I have been to Thailand many times.and l am pad se ew fans so l tried it here lt tasted similar to authentic Thai OMG! Amazing will definitely come back here.,mzenithg,"New York City, New York",2,Date of visit: December 2019,"December 16, 2019",5.0
This topic l will talk about,"This topic l will talk about pad Thai ,my favorite dish which topped with poached egg and crushed peanut ,was extremely wonderful.lt might be the best pad Thai l’ve ever had.Let’s try it.",hawsu,"New York City, New York",2,Date of visit: December 2019,"December 16, 2019",5.0
Yum! I went there together,Yum! I went there together with my friend.we had Thai iced tea for drink.lt was so tasty.we ordered sambal spiced calamari as the appetizer so so good and for the entree we got bo loc luc and kalbi short ribs.lt was really delicious.Staff was attentive...More,tackys2019,"New York City, New York",2,Date of visit: December 2019,"December 15, 2019",5.0
M,"Great service, great food, Nice environment, Pho beef was amazing Reasonable price, would go again for sure",Miinep,,2,Date of visit: November 2019,"December 13, 2019",5.0
Obao is my favorite restaurant.,Obao is my favorite restaurant.lt was packed very fast but we made a reservation.so the hostess seated us immediately. We started with pork belly.lt was well cooked and very yummy.Then l ordered bo loc luc and cashew chili chicken OMG! it was delicious.will definitely come...More,weerapat1986,,2,Date of visit: December 2019,"December 13, 2019",5.0
Have a great night!!l,Have a great night!!l have been here many time.The steamed dumplings is what l had as the appetizer.lt was so yummy.l also got the kalbi short ribs for the entree.lt was flavorful.definitely come back.,114calil,"Los Angeles, California",2,Date of visit: December 2019,"December 13, 2019",5.0
I went to another location,I went to another location last time.lt was so good so l decided to try this location.incredible Food.They did the same quality l ordered the same thing:pho bo broth was so great and some noodle was silky.highly recommended.,arthita2019,"New York City, New York",2,Date of visit: December 2019,"December 12, 2019",5.0
I was craving some Vietnamese,I was craving some Vietnamese food while l stayed in New York.The Bo loc luc was different from my hometown in LA Taste was very tender and yummy.Love this place.,Num N,"New York City, New York",2,Date of visit: December 2019,"December 10, 2019",5.0
I went there because of the,I went there because of the great reviews and lt wasn’t disappointed .The ambiance was so clean.food was so fast and tasty especially pad Thai also the service was so friendly and homey.definitely come back.,วิชทวัฒน์ ส,"Elmhurst, New York",2,Date of visit: December 2019,"December 9, 2019",5.0
Food Was Good but Service was Scattered and Clumsy,"Obao seems to be building a little empire of Vietnamese restaurants in New York - this was our first-ever visit to any location. This listing says Hell's Kitchen - this is not in Hell's Kitchen. The Ninth Avenue location could be considered Hell's Kitchen, but...More",493Ron,"Jacksonville, Florida",1003,Date of visit: November 2019,"December 9, 2019",4.0
I love the vibes of this restaurant.The,I love the vibes of this restaurant.The service is great.Food came very fast.we got the clay pot catfish and pho bo.Both of them were delicious.will come back.,vinky089,"Jackson Heights, New York",2,Date of visit: December 2019,"December 8, 2019",5.0
My father and l went there on lunch time.,"My father and l went there on lunch time.There was long line though the door but the hostess give us seats within 10 minutes.we ordered steamed dumplings as appetizer.lt was so great.Then we got pad Thai and bun bo hue.Both tasted excellent .Disappointed ,we didn’t...More",supannchaya,United States,2,Date of visit: December 2019,"December 8, 2019",5.0
Fantastic fusion restaurant,Fantastic fusion restaurant ;Thai and Vietnamese.absolutely perfect sense. I came here with my boyfriend on Friday night.we started with steamed dumplings.lt was yummy.For the entree we ordered kalbi short ribs and cashew chili chicken.Both of them were delicious and flavorful.highly recommended.,keawi2019,,2,Date of visit: December 2019,"December 7, 2019",5.0
Excellent food,"Excellent food and service.awesome soup for winter night.i started with steamed dumpling.It was yummy.and I had Bun bo hue,spicy noodle soup with pork belly and brisket,was a little bit spicy but tasted delicious.would definitely come back.",micky-mice,,2,Date of visit: December 2019,"December 7, 2019",5.0
