Wonderful service and amazing food! I live right around the corner so I'm always picking up dinner from here! There's another location on the west side as well!,Khusbu P.,"New York, NY",1/6/2020,5.0
"Cute space, solid options, and reasonable prices at OBAO. Had the pho and kimchi fries and both were larger than expected in portioN size. Flavor on the pho was clean but left something to be desired for-- not going to be the deepest broth but hits the spot nonetheless. Appreciated that the kimchI toppings were dispersed throughout the mountain of fries for even flavor. Vietnamese iced coffee was 10/10, not too sweet and strong coffee flavor. Overall would come back.",Jessica H.,"Harrington Park, NJ",1/18/2020,4.0
"I came here late for a small appetizer and a glass of wine. Surprisingly, the pork belly is so crispy and juicy. Definitely highly recommend it :)",Helen W.,United Kingdom,1/20/2020,5.0
"I often come to have lunch here because I work around and I don't have much time for lunch. The food came very fast. I don't have to waste time waiting.

I ordered Pad thai everytime I came. Pad thai had the best combination of sour and sweet taste. They always serve Pad thai with a slice of lime and ground peanut. It's good to squeeze lime because Lime definitely made it less greasy. About peanut! It makes my Pad thai become too dry, I don't like it. That why I always ordered Pad thai without peanut!

And the special thing is they served Pad thai with poached eggs. I was surprised first time I came to eat but server recommended me to mix everything before eating. dammmmm it!!! It's creamy, juicy This dish became my favorite forever!.",Thitiwat P.,"New York, NY",1/13/2020,5.0
This place is good! I'm not going to say it was the best - the vegetarian pad Thai tasted like there was a lot of ketchup in there. We also got the veggie dumplings which I actually enjoyed and they were very filling. The eggplant dish was also good but expected the sauce to not be so watery. Drinks were good! Nice happy hour. The dessert we got was great (chocolate mouse). It's a little cramped in there but aesthetic is nice. Service was good as well.,Mansi A.,"Boston, MA",1/21/2020,3.0
"I enjoyed this place more than the reviews led me to believe which is always pleasant.

Loves:
+ Really enjoyed the laksa ($15)
+ Got to love plant decor
+ Lots of seating
+ Tables are not cramped together
+ Reservations taken

TBH the Asian in me always screams inside when I see that four lil eggrolls are $10 (so obviously I didn't get that as our app), but the laksa really hit the spot for dinner that day. So yes to answer your question, I'd gladly come back! :)",Connie H.,"Brooklyn, NY",11/1/2019,4.0
"The ambiance and decor of OBAO is absolutely lovely. The staff is patient and very accommodating. They also have pretty solid happy hour deals.

I ordered a bun bo hue and it was pretty average. I found the broth to lack a bit of a lemongrass kick that I was anticipating. There was enough heat in the dish, just not enough lemongrass in my opinion. They're very generous with the meat in the dish though ^__^ The banh Mis looked really good.",Viona C.,"New York, NY",11/17/2019,3.0
Full of peanuts so we didnt eat but a very interesting selection of drinks available for all! Jump out of your comfort zone and hit them up for happy hour. Fair pricing.,Carley M.,"Bethesda, MD",10/27/2019,5.0
"On New  Years   this place was one of the few places that was packed. We were just riding the E train with no particular place to go. We got of at 53 st and just walked over  one block and there it was, OBAO. The name was so odd that we had to explore.  It was great",Vic S.,"St Paul, MN",1/1/2020,4.0
Went here on Sat for friends bday. It was really good and the staff was wonderful. Very accommodating and gave us a good time. It was my first time (though the group had been before). I would go back.,Justin M.,"Manhattan, New York, NY",1/20/2020,5.0
"Love cozy place , and garden in the back , Hard to find out in midtown city.
First we had an order calamri and pork belly ... wowww the taste is dope!!! Then we had kalbi serve in bbq pan... you gonna smell it from the kitchen til your table.... I love it... Fanilly dessert course we ordered everything .... super good .. This is not the first time for me. I become a regular customer and will def come back....",Amily N.,"New York, NY",11/7/2019,5.0
"Nice ambiance in the back room and the food was tasty. They have a few vegetarian and vegan options, but it's not extensive. The eggplant tofu with spicy garlic sauce was good and the service was pretty quick (it wasn't crowded). They only have white rice.",Rachael M.,"New York, NY",10/27/2019,4.0
Food was good and came extremely quick. Plenty of room to accommodate our larger group.,Trevor B.,"West Point, NY",1/18/2020,5.0
"Let me start by saying I am actually really disappointed by their food. Ordered three dishes and two of them are very salty and one is very sweet. So food-wise, it's like a 3 star.

The fours star mainly points to the service because they let us seat and enjoy the time with friends for like three hours without getting annoyed.

The happy hour drinks are reasonable too but the sake kind of feels watery.

No idea if i will come back to dine in here again.",Majer M.,"Manhattan, New York, NY",5/23/2019,4.0
"I love Obao!! I have been coming to this restaurant every few months for the last 2 years and it is one of my favorite places. Great noodles and broth and some solid vegetarian options. Also, it has great prices for the quality of food.",Allyson C.,"East Meadow, NY",1/17/2020,5.0
"I've been to OBAO a few times because the location is so convenient and they have so much space it's good for groups. During the summer they also have outdoor seating which you could also rent out.

Their happy hours are a great deal especially for the area. It's hard to find places with happy hours thats outside of the bar area. I've tried a few of their dishes usually just the noodles and they were really good and the portion sizes are perfect. I wouldn't say it's easy to share as a family style dish but if it's just you and another person it's easy to share. Their cocktails are also nice a lot of them are sweet and I wish they had more alcohol forward drinks but you can probably find a drink you like and for happy hour prices it's a steal. Also, every time I've been here the service was always quick and attentive.

I hear a lot of good things about their soup dishes so I might order that next time.

I've ordered takeout from them as well and they're very quick.",Ashley N.,"Manhattan, NY",10/6/2019,4.0
Great happy hour and the service was so good. The bo luc lac was so good. I get my lunch here all the time!! Love the food!!,Brittany Q.,"Washington, DC",1/21/2020,5.0
"not quite as much seating as the other location but still very cute on the inside.
i came back because bc i wanted those delicious kimchi fries at the other location...unfortunately they said no....literally 30 min after we were halfway done with our meal they go ""oh we have kimchi fries now"" and my heart sank. I was definitely too full to order them....next time!
Khao soi and drunken noodles here were good; asked for medium spicy and they ACTUALLY made it spicy!
Fried shrimp appetizer was okay; would probably get something else next time (ie the fries)
service was very frequent and kind. Hostess was very kind over the phone as well.
They take reservations and good for small groups! Would highly recommend this place for a casual night for dinner or a date night.",Jessica W.,"Long Island City, Queens, NY",9/17/2019,4.0
"3.5 stars, rounded down.

Less frequented than the obao on the west side, this obao has gotten me out of a sticky situation many a time when I am struggling to come up with somewhere to go eat that is tasteful, but simultaneously affordable. In this area of town, rental prices for commercial units surely run very high, so it's nice when you find something that is not going to be prohibitive for anyone in your party.

For some reason, I always get seated at the front of the restaurant, though it seems like there is additional seating in the back. Food here is decent, and if you come for lunch, it's a much better deal than if you come here some other time of day. However, you don't get a whole lot of food, so there is that drawback. Like most asian eaterys, the waiters and waitresses can be a little pushy here. I once forgot to tip here, so I was reminded that I needed to tip. I suppose it was my fault, so I don't really fault the waiter for reminding me- however, technically, tipping is not mandatory, so it was a little bit annoying that I was reminded. However, after dropping $5 or so on the table, I was further informed that this wasn't a sufficient tip. I felt like this is kind of pushing it, since, again, tipping is not mandatory in NYS.

In conclusion, the food here is decent, though the portion size leaves a little to be desired, and the service is... assertive. May or may not be back, since I no longer live nearby.",Matt L.,"New York, NY",3/19/2019,3.0
"If not the best , then one of the best thai restaurant in New york. The perfect meals we've had in midtown . We love Obao . From the moment you walk into the moment you leave here is immense satisfaction with the ambiance , service, and amazing thai food .
The decor was so homey. The service was attractive . The waiter was lively and friendly.
Definitely would be back for sure .",Jern S.,"Flatiron, Manhattan, NY",11/17/2019,5.0
Had the Pad-See-ew on a Friday during lunch time and it was just so delicious! Had to leave a review. Very clean and neat and great friendly staff!,Roderick E.,"Los Angeles, CA",1/17/2020,5.0
"Great service, lovely food, amazing night! Loved the kee mao- just spicy enough and came out super fast!",Sarah S.,"Fort Worth, TX",11/12/2019,5.0
Friendly staff in a lovely environment with outdoor patio. The food was great and beautifully prepared.,Ferny F.,"New York, NY",11/12/2019,5.0
Great happy hour!! This is my go to for lunch and I have much to recommend in terms of the food. Great service and overall offering!!,G L.,"Manhattan, NY",1/21/2020,5.0
"Still very solid and with friendly staff and plenty of seating in the front and back.  

The food is great and a nice mix of Thai and Vietnamese. Definitely get the Bo Lu Lac and Laksa - the beef is tender and the curry laksa broth very flavorful and creamy. The pad see ew is also very solid and a bit sweeter than other variants - but I like the sweeter flavor so your own mileage may vary. Portions are generous and prices very reasonable for the area - almost everything save for the Kalbi and lobster pad Thai are under $20.",Danan R.,"New York, NY",8/24/2019,4.0
"One of the best Thai I've been to in New York. The portions are very good and the service is great. Special mention to the pad thai and the pork chops!
The drinks are really worth it too!",Anne Laure S.,"Brooklyn, NY",11/5/2019,5.0
"Came here for our 2nd wedding anniversary. We came here on our first date four years ago.

This place was great then, even better now. The decor feels more homey, with lighter walls. Low lighting and friendly service gives it a warm feel.

As for the food: highly recommend the dumplings appetizer -- there's some sort of herb/spice inside the dumpling that gives a great taste. Pad Thai was excellent, as was the Khao Soi (a curry soup with chicken and noodles) -- perfect for a cold winter night.

Our server checked in multiple times to make sure everything was good.

Highly recommend for a casual dinner or a low-key special event.",Arthur A.,"Rego Park, NY",11/12/2019,5.0
"My dad and me came here for dinner for the first time at this branch. We ordered Fresh Shrimp roll and Steamed Dumpling for appetizer. Moreover, Pad Kee Mao and Pad Thai for main dishes. All the foods came super fast. My dad was so surprised lol. It took about 2-3 minutes for Appetizer and not more than 5 minutes for Entrees.
Plus, the taste of foods was wonderful. Will come back again.",Ronnakrit K.,"Queens, Queens, NY",11/3/2019,5.0
"This spot is so perfect for your Thai fix, I've been to two locations and I've been equally impressed both times, attentive service and delicious food with fresh ingredients.

My mouth is drooling thinking about their food. Only downfall is it gets a really busy at times and makes the space loud and a long wait for a table, I suggest going at a quieter time if that sort of thing matters to you...let me know when you go because I will want to join!",Hannah M.,"New York, NY",7/25/2019,5.0
"My first time here and I had a pleasure to be served by Mr. Bank.
I had ribs on sugarcane which was delicious. First I thought it was some large bamboo sticks but you could actually chew the skewers for the juice. They are made from real sugarcane. The ribs were tender and juicy with some kind of savory sauce.

Mr. Bank had recommended Lobster Pad Thai to me as a main dish. Oh boy, you are not gonna believe it! The whole dish was covered with a gigantic lobster. I had to separate the bad boy to the side plate. He told me that I should poke the soft boiled egg and mix them well with the Pad Thai noodle, which I did. Oh lord, the noodles became creamier which in the way that I had never experienced Pad Thai before.

Too bad I was so full and could not try the dessert, but they all looked good though.

Bonus: Try the tamarind tequila cocktail. It was so good with a spicy kick on the mouth!",Teejay W.,"Woodside, NY",12/13/2019,5.0
"Dropped in for lunch at and got the pad sew ew. Service was quick and they were able to accommodate adding spice to my order but despite the spice, the dish was overall sweeter than most pad see ews I've had. There was a good amount of beef, eggs, and veggies and the beef was very tender (it was listed as coming from New Zealand). The portion was just enough to make me feel full but not stuffed. Overall, it's a decent spot.",Christine X.,"Seattle, WA",12/6/2019,3.0
"Never again..terrible customer service and the vegetable pad thai was drenched in sauce. I can even make better pad thai than that.

Came here during lunch time to order a pad thai to go. The host handed us the menu and walked away. When we returned to order our dishes, a different hostess took our order and handed me the ipad to sign with 18% gratuity selected. I found it odd as I was ordering it to go, but changed the tip amount quickly before signing it. I noticed she did the same thing when my friend was paying for her meal. Sensing that we were not giving her 18% tip, the hostess proceeded by telling us that she made an exception for us by allowing take-out as they don't do so before 2:30pm. I told her well in the case since it was my first time here, I won't be returning to order any more lunch. Her response was, that's fine with us!

So if you are looking to pick up some lunch during the week, this is a place that will not welcome you!",Cindy W.,"New York, NY",6/8/2019,1.0
"The dishes here are not authentic; instead, to me they all offer some twist to the traditional South East Asian food. The cocktails are delicious. Come here for happy hour drinks, it'll be more worthwhile.",Lam N.,"Queens, NY",1/1/2020,4.0
We ordered khao soi and laksa with dumplings. It tastes great. Been wanting my asian fix for a while and this does it. Ambience is perfect. Clean and modern dining. Service is excellent.,Mae N.,"San Francisco, CA",11/10/2019,5.0
The calamari was bomb! Love the Figatini cocktail! Our bartender June was lovely and attentive! Recommend!,Carol W.,"New York, NY",11/7/2019,5.0
"Stoped by OBAO for a really quick lunch, and I say quick because the food came out in about 5 minutes after ordering, I kid you not. Mind you, we sat down around 12:15 ish? So I think it was right before the rush.

I ordered the pad kee Mao and asked for it spicy. Whenever I don't emphasize how spicy I want it, servers don't believe me so expectantly it wasn't spicy even a little bit. That annoys me. The food was hot and looks appetizing but taste was a bit bland to be honest, like it was missing something.

I may come back to try the pho because that smelled really good,  but wouldn't recommend the pad kee Mao. While service was really fast, 2 stars goes to the meal itself.",Ashley D.,"Fords, NJ",5/8/2019,2.0
Ordered the pho bo and the ribs on sugar crane. The soup could be more flavorful and the ribs was mostly fat although the favor is good. Seating was easy and food came fast.,Fiora F.,"Queens, Queens, NY",6/10/2019,2.0
"Very Good food
The food was awsome! We ordered The kimchi fries and papaya salad as a started and for main course The pork chop so awesome. The service it's so nice Overall considered.",Peerawat C.,"Los Angeles, CA",10/24/2019,5.0
"Terrible service. Our waitress did not have any patiente with us, and got angry because we order to take off the ice from a juice.",Joyce F.,"Chicago, IL",12/27/2019,3.0
"OBAO used to be one of my favorite restaurants, but I was disappointed with the food in my last visit. Ordered the classic Pho Bo and it was bland and not the good quality I remembered. My Vietnamese coffee was also disappointing. I don't think the coffee has been made fresh.  
The service however, was very good! Polite and welcoming staff as usual!",Behnoosh H.,"Manhattan, New York, NY",12/29/2019,2.0
"Had a great experience at this place.l went here together with my boyfriend.We started with some cocktails including thai sabay and sipping emotion.The happy hour was going on,meaning each cocktail just $10. And both were amazing.for apps we had steamed dumplings.lt tasted so good and for the entree we got kalbi short ribs and pad thai -very very delicious.highly recommended.",Grun O.,"Elmhurst, Queens, NY",12/19/2019,5.0
"One of my favorite Pho places in the city. Always consistent Pho bo with a great staff as well.  The broth is always great and a perfect hangover cure.

The seating towards the back is great for getting cosy but the front is also great when you just want some food in then out the restaurant.

Also recommend getting the coconut juice as it comes with chunks of coconut meat and has a great rich and refreshing flavor.",Haru Z.,"Manhattan, NY",11/3/2019,5.0
"This is review about my second time in this place last night. We had Bun bo hue which comes with pork belly, beef, and Bo loc luc were so tasty. And chocolate forest was delicious. I'll definitely go back.",Nokweed K.,"Elmhurst, Queens, NY",11/9/2019,5.0
Excellent ambiance.we sit at the garden where settles the big tree was very natural.l order pork belly for the appetizer.lt was very good the last got the bun bo hue which serves with brisket and pork belly was so concentrated and yummy.l will definitely come back,May M.,"Chelsea, Manhattan, NY",11/17/2019,5.0
"Okay I have to say I have looked near and far, Harlem to cobble hill and this is THE best pad Thai I have found in NYC.

With a sweet base, this pad Thai offers the perfect amount of texture with the picturesque addition of a poached egg in the middle, and jumbo large shrimp amidst a fully topped crunchy peanut bed of delicious noodles. Great texture and sauce, with a medium spice per my request.

Good drink menu but also lunch specials if you're looking to stop by with coworkers. We were sat and seated as a group of 4 immediately in this surprisingly large restaurant. This place has quick service and gets you in and out while feeling like you're special.

Best pad Thai hands down in Manhattan and maybe all of NYC. Good service makes this my new favorite stop for a quick meal, date or work lunch!",Alexandra R.,"New York, NY",4/18/2019,5.0
"My go to asian spot in Midtown East! Try the pork-chops and pork belly! Ambience is very sheik but if you need to dine in your office like I do, they offer delivery!",Rob D.,"Manhattan, NY",11/5/2019,5.0
"Me and my husband arrived around 12 noon and even though the restaurant was crowded, we were seated within 5 mins.

I ordered the tofu curry and my husband ordered Pho Bò noodle soup, which was suppose to be amazing. Disappointed to be honest... my curry was just very average; nothing spectacular. For a soup base that prides in being cooked for 12 hours, the Pho Bò was underwhelming af! Tasted just like any other pho in the city.

The host and servers were friendly. Will return but it's definitely not a MUST TRY spot...",Miranda K.,"Manhattan, NY",5/24/2019,3.0
"Get more workers!!
The food is great- mini mini portions though!! Order one extra thing or some sides to actually feel satisfyingly full. More on the salty side but its thai food- just order more rice!
The waitresses and waiters are nice but it is severely understaffed. I waited 1 hour for a table because the host was busy bussing tables, taking orders and mixing drinks. The poor girl apologized so much because she forgot about us waiting! You will have to wait 30 min for them to bring out the bill so when the food comes out just pay as soon as you spot a waiter.",Soo H.,"Manhattan, NY",7/13/2019,4.0
Fabulous fusion restaurant!! I went there last night with my boyfriend for wedding anniversary.We were very happy.The server  treated us very well they absolutely know what we like ; We got the Sambal spiced calamari for the app.It was so awesome.For main dishes we had pho bo and kalbi short ribs both was fantastic.will come back for sure.,Takky T.,"ELMHURST, NY",11/14/2019,5.0
If you're looking for good food in a pinch I would highly recommend this place. I enjoyed a soup with pad Thai. We we quickly seated and the food came out without delay. Service was fast and great.,Sonal M.,"New York, NY",10/5/2019,4.0
"I didn't come here for quite a while. This time I and my friends came here for dinner and we had such a great dinner experience. We had a booth seat at the back. Back there it was nice setting and I like their 90's playlist!

We had pork belly and spiced calamari for appetizer. They're all crispy and tasty. We also shared Kalbi Shortribs which they served on hot pan, whole crispy fish and sautee beansprout for main course. I would say both of main dishes were flavorful and came with nice portion. The staffs here are also nice and welcomed.",Joy C.,"Irving, TX",10/24/2019,5.0
"Great place in the neighborhood. Great food and super helpful and friendly service. Nice to get the food made to your taste, and see people here interested in providing great service.",George N.,"Forest Hills, Queens, NY",11/21/2019,5.0
"Great service and would definitely recommend the Pad Thai ! If you're in the mood to share, lots of pork chops ! And the cocktails are good too. Server was really nice with our group and music level is not loud!!!",Anne-Céline V.,"New York, NY",11/5/2019,5.0
"I came here for NYC restaurant week but no restaurant week?! So disappointed. Because of good reviews and they supposed to be participating in restaurant week, I tried this place. And it was meh.

Location: the interior is okay, we got seated immediately. Intimate ambience and the bar is cool cause you could see them cooking.

Service: the girl who serves us has an attitude. She was pissed off when I ask why theres no restaurant week, her voice changed with a high tone!

Food: PAD THAI: this is the best dish here, it has poached egg that makes the sauce creamy and tasty, good amount of shrimps too. SAMBAL SPICED CALAMARI: this is another good dish, crispy with sautéed onions. STEAMED DUMPLINGS: dont order, its a regular dumplings, nothing special. PAD SEE IEW: it was okay, but to small serving. SPICY LEMONGRASS KALBI SHORT RIBS: dont order!! Pricey and not good! 21 dollars for this and the meat is very hard, the seasoning is not even great and good thing its a small serving cause its not good anyways.

Price rating: 9 out of 10. Very pricey for small amount of serving, its not even worth if cause its not good.

Get pad thai and sambal calamari! Dont get the spicy lemongrass kalbi short ribs 21 dollars and its not good! Too small servings here. 2 stars is for the pad thai!",Mark Nowell M.,"Woodside, Queens, NY",8/17/2018,2.0
We had a great dinner here last night. We were seated right away when we were there. We started with 2 cocktails on the HH- Obao Sunday and sipping emotion. Both were slightly spicy but refreshing. An appetizer we tried steamed dumplings; my first bite was so delicious. Then we split the bo loc luc and kalbi short rib. Bomp!! Everything was so amazing. I would visit again as a neighborhood.,Hakeo R.,"Queens, NY",12/10/2019,5.0
One of my all time favorite restaurants to go when out in the city!! Service is great and food is even better. Would recommend their pad thai to anyone :),YouJin C.,"Brooklyn, NY",11/4/2019,5.0
"I was so excited to try this restaurant. Service was excellent and attentive, food was amazing and drinks were strong! Hands down the best pad thai I have ever had. The atmosphere was great too. Love the modern flair on this authentic cuisine.",Kaleigh M.,"Stony Brook, NY",10/3/2019,5.0
"Great food, drinks, and service! One of the best calamari and pork belly I think the city. A must in the east side!",Sebastián L.,"Bronx, NY",11/3/2019,5.0
"Wonderful service and excellent food! We always make it a point to stop at OBAO when visiting the city. This location is smaller than on 9th ave but intimate, quiet and still great.",Alex H.,"San Jose, CA",1/3/2020,5.0
"Awesome food,great service.l went there before heading home last night.l had pad see ew with beef.lt was flavorful and not too soggy.highly recommended.",Rathanon S.,"New York, NY",12/6/2019,5.0
"Bad enough that I took 2 bites, threw it out, and ordered something else. I've previously had the Pad Thai and found it alright, but would not recommend going near the Pad Kee Mao. Maybe it was just a mistake with my specific order? Noodles were completely pale and without any sauce, and full of very dry chicken and tomatoes. No peppers or other veg, contrary to the description.",Sarah H.,"Manhattan, New York, NY",1/7/2020,2.0
First time in this place it was absolutely amazing staff was polite and the food was good I can't wait to come back.,Crisleidy E.,"Queens, NY",11/6/2019,5.0
I came here this is the second time with my husband and my kid. They love the food here so much but I live in Brooklyn I don't have much chance to come here in the city but every time when I come here I always find Asian food to eat. First I had pho my husband had phadthai and my kid got pad se ew. All so good.... And after food we had bottle of red wine and sitting an hour then finally my kid want a dessert... I had Yuzu Wow I love it. Didn't imagine will be that good but actually it is sooo good. We will come back when we are in town.,Pornkakok T.,"Elmhurst, Queens, NY",11/18/2019,5.0
Clean delicious and friendly staff. Been here couple times. We got pho and papaya salads,Chengpei X.,"Waltham, MA",11/10/2019,5.0
"The food is incredible and the taste was so good, I had ordered phadthai and my bf orderd pho .. we had spring roll to share for appertizer... was so goodddd. Service is the best. All stuffs always smiling and answered all my questions very clear. Will def come back.",Kanitaporn P.,"Elmhurst, Queens, NY",11/23/2019,5.0
Very solid Thai in the midst of midtown food desert. Had cashew chili chicken. So good. Good vibes. Good vibes.,andy g.,"Manhattan, NY",11/6/2019,4.0
This is my first time for pho bo in my life- first walk in feel cozy --- decoration in the back they had a garden--- wow hardly to find a garden in the city.... about service....stuffs are  so friendly smiling all the time when taking the order with me:) impressived to the max*** after that i took phaithai wow pouch egg on top*** very good*** plus ice coffee here is smooth not too sweet .. i love it-,NukiE T.,"New York, NY",11/18/2019,5.0
"Everyone have different expectations of pho but I'm from Michigan and this is the only pho in New York that has the taste of the ones I like in Michigan. Maybe not the true authentic taste or the same Spices as others. Maybe it is sweeter? I'm not sure but it hit the spot for me. :)
Also not as big as normal pho back in Michigan (which was always shareable) but it is New York City.
The back sunroom is a cool seating area too!",Stephanie S.,"Troy, MI",6/23/2019,5.0
Set a reservation through Yelp for 7:15pm and was seared immediately. Service was so wonderful and food was delicious! I got the noodles with the curry (can't remember name but it was topped with crispy noodles as well) and it was perfect especially for a winter night. Would totally recommend!,Jamy P.,"Sugar Land, TX",11/2/2019,5.0
Delicious food. Phenomenal drinks. I enjoyed the calamari and steam dumpling. The sauce that accompany the calamari is delicious. The happy hour drink menu was reasonable. Overall the environment was welcoming and food was fresh and hot and wait wasn't long. I would definitely be back.,Kisha V.,"Brooklyn, NY",1/1/2019,4.0
"Food: 3 out of 5 stars
Service: 3 out of 5 stars

I am visiting NY for work and this place was right across the street.

Food:
I ordered the Crispy Spring Rolls, Spare Rib on Sugar Cane Skewer (labeled as recommended by Michelin Guide), and the Pho Bo which loosely translates to Beef Pho (also labeled as recommended by Michelin Guide).

The pho was authentic and tasty. However, the quality of the beef could have been better. They also could have included more toppings. Although this was a Michelin recommended dish, I can't say this was one of the best pho I've had. If this place was in California, it would be average at best. Don't get me wrong though, the pho was still very tasty.

The spare ribs dish was also pretty good, but the taste of hoisin sauce in the peanut sauce was too overpowering. The dish wasn't bad, but I would have liked it more without the sauce.

The springs rolls were pretty good. Usually, in Vietnamese culture, there would be lettuce/veges/pickled daikons on the side to wrap the roll and then dipped in the fish sauce. Daikons were included. However, this dish only had one lettuce and it was soaking up all the oil so I couldn't use it to wrap. That essentially rendered the fish sauce useless. Dipping the roll alone in the sauce would be too salty. It would have been nice if this dish came with lettuce on the side NOT drenched in oil.

Service:
Waiter had a little bit of an attitude because I had trouble understanding his accent.",Monica B.,"San Francisco, CA",5/14/2019,3.0
"Came here for a first date three years ago, came back with one of my best friends and I'll have to say this place is consistently good... for first date people watching and amazing conversation with friends.  Thank you for a fun hump day!",Meg A.,"New York, NY",11/6/2019,5.0
"It might be the best fusion restaurant l've ever had.My day and l were looking for pho place eventually we went to Obao where we are very impressed.
First of all -The server was very welcome and hospitality he recommended how to eat pho bo correctly ; put some hoisin and hot sauce on small plate then dipped the beef and noodles on its.Then He came to check back reversal times and let's us try any dessert finally l got chocolate forest ,was so yummy.Absolutely coming back:-)",Num N.,"Queens, Queens, NY",11/13/2019,5.0
"Michelin-starred Pho!
***
Locals
My favorite place for Southern Vietnamese pho! They have 3 locations (FiDi, Midtown East, and Hell's Kitchen). Very convenient locations, and delicious & cheap food!
***
Travelers
It's the best Southern Vietnamese pho I had in Manhattan. Midtown East and Hell's Kitchen are better locations for sit down, but Financial District (FiDi) is better for quick bites. Make a reservation as they are always packed for dinner (for Hell's Kitchen and Midtown East).
***
My Recommendation
Michelin Star? Pho? What's not to love? Their Bun are also amazing! Each location is slightly different, though. Hell's Kitchen and FiDi have Thai options. Lunch is cheaper than dinner and Hell's Kitchen has Lunch Sets with appetizers.

IG: @foodisseur",Christine W.,"New York, NY",11/25/2018,5.0
Pork belly is the best i ever had and grilled pork and shrimp Bun is my favorite dish the sauce that come with it's so tasty. By the way I was sitting at the backyard with 2 friends. lovely place and friendly staff. Definitely come back again.,Tom W.,"New York, NY",11/4/2019,5.0
Awesome place! Great environment/ vibes.. Food and drinks came quite despite how busy it was. Would definitely come back again!!,Kitty Z.,"Brooklyn, Brooklyn, NY",11/2/2019,5.0
